[Gen 476 | Timestep 0] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 1] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 2] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 3] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 4] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 5] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 6] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 7] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 8] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 9] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 10] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 11] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 12] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 13] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 14] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 15] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 16] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 17] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 18] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 476 | Timestep 19] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
Generation 476 SUMMARY: {"generation": 476, "population": [{"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}, {"prompt_length": 7, "reward": 16370}], "best_reward": 16372, "average_reward": 16370.0}
--- End of Generation 476 ---

[Gen 477 | Timestep 0] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 1] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 2] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 3] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 4] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 5] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 6] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 7] Prompt Length: 7 | Generated Tokens: 11224 | Reward: -14595
[Gen 477 | Timestep 8] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 9] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 10] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 11] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 12] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 13] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 14] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 15] Prompt Length: 7 | Generated Tokens: 1106 | Reward: -75303
[Gen 477 | Timestep 16] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 17] Prompt Length: 7 | Generated Tokens: 11261 | Reward: -14373
[Gen 477 | Timestep 18] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 477 | Timestep 19] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
