Loading PyTorch/Python3.11
  Loading requirement: Python/Python3.11 cuda/cuda-11.6
[Gen 451 | Timestep 0] Prompt Length: 7 | Generated Tokens: 8015 | Reward: -33849
[Gen 451 | Timestep 1] Prompt Length: 7 | Generated Tokens: 4038 | Reward: -57711
[Gen 451 | Timestep 2] Prompt Length: 7 | Generated Tokens: 8465 | Reward: -31149
[Gen 451 | Timestep 3] Prompt Length: 7 | Generated Tokens: 2617 | Reward: -66237
[Gen 451 | Timestep 4] Prompt Length: 7 | Generated Tokens: 728 | Reward: -77571
[Gen 451 | Timestep 5] Prompt Length: 7 | Generated Tokens: 9204 | Reward: -26715
[Gen 451 | Timestep 6] Prompt Length: 7 | Generated Tokens: 2508 | Reward: -66891
[Gen 451 | Timestep 7] Prompt Length: 7 | Generated Tokens: 1969 | Reward: -70125
[Gen 451 | Timestep 8] Prompt Length: 7 | Generated Tokens: 7495 | Reward: -36969
[Gen 451 | Timestep 9] Prompt Length: 7 | Generated Tokens: 4023 | Reward: -57801
[Gen 451 | Timestep 10] Prompt Length: 7 | Generated Tokens: 3725 | Reward: -59589
[Gen 451 | Timestep 11] Prompt Length: 7 | Generated Tokens: 10190 | Reward: -20799
[Gen 451 | Timestep 12] Prompt Length: 7 | Generated Tokens: 9236 | Reward: -26523
[Gen 451 | Timestep 13] Prompt Length: 7 | Generated Tokens: 16384 | Reward: 16370
[Gen 451 | Timestep 14] Prompt Length: 7 | Generated Tokens: 2174 | Reward: -68895
[Gen 451 | Timestep 15] Prompt Length: 7 | Generated Tokens: 3347 | Reward: -61857
[Gen 451 | Timestep 16] Prompt Length: 7 | Generated Tokens: 3586 | Reward: -60423
[Gen 451 | Timestep 17] Prompt Length: 7 | Generated Tokens: 972 | Reward: -76107
[Gen 451 | Timestep 18] Prompt Length: 7 | Generated Tokens: 1661 | Reward: -71973
[Gen 451 | Timestep 19] Prompt Length: 7 | Generated Tokens: 949 | Reward: -76245
