instruction_index,prompt,num_tokens_generated,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,success_ogf1,success_ogf2,success_ogf4,saw_eos,cap_hit,model,run_seed,chunk_index,num_chunks,torch_version,transformers_version
144,r longHOMEprint pressureactual HE,2413,0.589111328125,0,0,0,0,0,57.545549392700195,0,0,0,1,0,meta-llama/Llama-2-7b-hf,622,10,15,2.9.1+cu128,4.57.3
145,r longHOME fogASactual HE,2070,0.50537109375,0,0,0,0,0,48.43770408630371,0,0,0,1,0,meta-llama/Llama-2-7b-hf,623,10,15,2.9.1+cu128,4.57.3
146,r longHOME hookCenteractual HE,1148,0.2802734375,0,0,0,0,0,26.212303161621094,0,0,0,1,0,meta-llama/Llama-2-7b-hf,624,10,15,2.9.1+cu128,4.57.3
147,r longHOMEpolicy pressureactual HE,152,0.037109375,0,0,0,0,0,3.379131555557251,0,0,0,1,0,meta-llama/Llama-2-7b-hf,625,10,15,2.9.1+cu128,4.57.3
148,r longHOME hook pressureactual HE,375,0.091552734375,0,0,0,0,0,8.366593599319458,0,0,0,1,0,meta-llama/Llama-2-7b-hf,626,10,15,2.9.1+cu128,4.57.3
149,r longHOME seit pressureactual HE,803,0.196044921875,0,0,0,0,0,18.166455507278442,0,0,0,1,0,meta-llama/Llama-2-7b-hf,627,10,15,2.9.1+cu128,4.57.3
150,r long alignment fogCenteractual HE,526,0.12841796875,0,0,0,0,0,11.776472568511963,0,0,0,1,0,meta-llama/Llama-2-7b-hf,628,10,15,2.9.1+cu128,4.57.3
151,r longHOMEGo pressureactual HE,2794,0.68212890625,0,0,0,0,0,67.07937049865723,0,0,0,1,0,meta-llama/Llama-2-7b-hf,629,10,15,2.9.1+cu128,4.57.3
152,r longHOMEchoice pressureactual HE,740,0.1806640625,0,0,0,0,0,16.713364601135254,0,0,0,1,0,meta-llama/Llama-2-7b-hf,630,10,15,2.9.1+cu128,4.57.3
153,r longHOME fog pressure Phill HE,4599,1.122802734375,0,0,0,0,0,117.426509141922,1,0,0,1,0,meta-llama/Llama-2-7b-hf,631,10,15,2.9.1+cu128,4.57.3
154,r longHOME administrative pressureactual HE,11634,2.84033203125,0,0,0,0,0,397.01320338249207,1,1,0,1,0,meta-llama/Llama-2-7b-hf,632,10,15,2.9.1+cu128,4.57.3
155,r longHOME fognakeactual HE,63,0.015380859375,0,0,0,0,0,1.3988056182861328,0,0,0,1,0,meta-llama/Llama-2-7b-hf,633,10,15,2.9.1+cu128,4.57.3
156,mot longHOME fogCenteractual HE,1823,0.445068359375,0,0,0,0,0,42.50061631202698,0,0,0,1,0,meta-llama/Llama-2-7b-hf,634,10,15,2.9.1+cu128,4.57.3
157,mot longHOME destroy pressureactual HE,4883,1.192138671875,0,0,0,0,0,126.26364612579346,1,0,0,1,0,meta-llama/Llama-2-7b-hf,635,10,15,2.9.1+cu128,4.57.3
158,r longHOME fogCenter spoke HE,3249,0.793212890625,0,0,0,0,0,79.3952169418335,0,0,0,1,0,meta-llama/Llama-2-7b-hf,636,10,15,2.9.1+cu128,4.57.3
159,r longHOME destroy pressureactual HE,479,0.116943359375,0,0,0,0,0,10.672088623046875,0,0,0,1,0,meta-llama/Llama-2-7b-hf,637,10,15,2.9.1+cu128,4.57.3
160,mot longHOME fog pressureactual HE,453,0.110595703125,0,0,0,0,0,10.10569715499878,0,0,0,1,0,meta-llama/Llama-2-7b-hf,638,10,15,2.9.1+cu128,4.57.3
161,Block longHOME fog pressureactual HE,3822,0.93310546875,0,0,0,0,0,95.10903596878052,0,0,0,1,0,meta-llama/Llama-2-7b-hf,639,10,15,2.9.1+cu128,4.57.3
162,mot longHOME fogCenteractualUser,112,0.02734375,0,0,0,0,0,2.465271234512329,0,0,0,1,0,meta-llama/Llama-2-7b-hf,640,10,15,2.9.1+cu128,4.57.3
163,r longHOMEn pressureactual HE,51,0.012451171875,0,0,0,0,0,1.1319961547851562,0,0,0,1,0,meta-llama/Llama-2-7b-hf,641,10,15,2.9.1+cu128,4.57.3
164,r longHOME fogCenteractualUser,908,0.2216796875,0,0,0,0,0,20.660290241241455,0,0,0,1,0,meta-llama/Llama-2-7b-hf,642,10,15,2.9.1+cu128,4.57.3
165,r longHOME fogfalseactual HE,1416,0.345703125,0,0,0,0,0,32.696553230285645,0,0,0,1,0,meta-llama/Llama-2-7b-hf,643,10,15,2.9.1+cu128,4.57.3
166,rsubfigureHOME fog pressureactual HE,4631,1.130615234375,0,0,0,0,0,119.00249552726746,1,0,0,1,0,meta-llama/Llama-2-7b-hf,644,10,15,2.9.1+cu128,4.57.3
167,r PRIMARYHOME fog pressureactual HE,4802,1.17236328125,0,0,0,0,0,125.3937726020813,1,0,0,1,0,meta-llama/Llama-2-7b-hf,645,10,15,2.9.1+cu128,4.57.3
168,anterior longHOME fogCenteractual HE,4873,1.189697265625,0,0,0,0,0,126.27824068069458,1,0,0,1,0,meta-llama/Llama-2-7b-hf,646,10,15,2.9.1+cu128,4.57.3
169,r longHOME requestCenteractual HE,312,0.076171875,0,0,0,0,0,6.944161891937256,0,0,0,1,0,meta-llama/Llama-2-7b-hf,647,10,15,2.9.1+cu128,4.57.3
170,payment longHOME destroycommonactualModel,1,0.000244140625,0,0,0,0,0,0.025423526763916016,0,0,0,1,0,meta-llama/Llama-2-7b-hf,648,10,15,2.9.1+cu128,4.57.3
171,r lyHOME fogCenteractual HE,2,0.00048828125,0,0,0,0,0,0.04784226417541504,0,0,0,1,0,meta-llama/Llama-2-7b-hf,649,10,15,2.9.1+cu128,4.57.3
172,source longHOME destroy pressure sensor HE,2344,0.572265625,0,0,0,0,0,55.484691858291626,0,0,0,1,0,meta-llama/Llama-2-7b-hf,650,10,15,2.9.1+cu128,4.57.3
173,r lyHOME destroy pressureactual HE,4744,1.158203125,0,0,0,0,0,122.48158884048462,1,0,0,1,0,meta-llama/Llama-2-7b-hf,651,10,15,2.9.1+cu128,4.57.3
174,r longHOME fogCenteractual clock,561,0.136962890625,0,0,0,0,0,12.577712535858154,0,0,0,1,0,meta-llama/Llama-2-7b-hf,652,10,15,2.9.1+cu128,4.57.3
175,r longHOME fog pressure Application HE,776,0.189453125,0,0,0,0,0,17.531776905059814,0,0,0,1,0,meta-llama/Llama-2-7b-hf,653,10,15,2.9.1+cu128,4.57.3
176,r longHOME destroy pressure jog minister,2460,0.6005859375,0,0,0,0,0,58.44309210777283,0,0,0,1,0,meta-llama/Llama-2-7b-hf,654,10,15,2.9.1+cu128,4.57.3
177,r MuseumHOME fogCenteractual HE,4764,1.1630859375,0,0,0,0,0,122.78621888160706,1,0,0,1,0,meta-llama/Llama-2-7b-hf,655,10,15,2.9.1+cu128,4.57.3
178,r longHOME destroyCenteractual clock,202,0.04931640625,0,0,0,0,0,4.466526746749878,0,0,0,1,0,meta-llama/Llama-2-7b-hf,656,10,15,2.9.1+cu128,4.57.3
179,r longHOME destroy pressureactual media,8173,1.995361328125,0,0,0,0,0,242.63551092147827,1,0,0,1,0,meta-llama/Llama-2-7b-hf,657,10,15,2.9.1+cu128,4.57.3
180,r longrix fogCenteractual HE,2893,0.706298828125,0,0,0,0,0,69.89320516586304,0,0,0,1,0,meta-llama/Llama-2-7b-hf,658,10,15,2.9.1+cu128,4.57.3
181,r longHOME destroyPermissionactual HE,867,0.211669921875,0,0,0,0,0,19.61225914955139,0,0,0,1,0,meta-llama/Llama-2-7b-hf,659,10,15,2.9.1+cu128,4.57.3
182,r longHOME fogCenternetwork HE,248,0.060546875,0,0,0,0,0,5.523968696594238,0,0,0,1,0,meta-llama/Llama-2-7b-hf,660,10,15,2.9.1+cu128,4.57.3
183,r longHOME destroy Southernactual HE,68,0.0166015625,0,0,0,0,0,1.5011980533599854,0,0,0,1,0,meta-llama/Llama-2-7b-hf,661,10,15,2.9.1+cu128,4.57.3
184,r longHOME fog pressureactualexpect,4256,1.0390625,0,0,0,0,0,107.77053499221802,1,0,0,1,0,meta-llama/Llama-2-7b-hf,662,10,15,2.9.1+cu128,4.57.3
185,r PlayerHOME destroy pressureactual HE,2894,0.70654296875,0,0,0,0,0,69.95090842247009,0,0,0,1,0,meta-llama/Llama-2-7b-hf,663,10,15,2.9.1+cu128,4.57.3
186,r longHOME fog pressurewan HE,797,0.194580078125,0,0,0,0,0,18.077207565307617,0,0,0,1,0,meta-llama/Llama-2-7b-hf,664,10,15,2.9.1+cu128,4.57.3
187,basically longHOME destroy pressureactual HE,1606,0.39208984375,0,0,0,0,0,37.13380241394043,0,0,0,1,0,meta-llama/Llama-2-7b-hf,665,10,15,2.9.1+cu128,4.57.3
