prompt_key,row_type,trial,gen_len,total_len,success,saw_eos,cap_hit,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,model,summary_avg_gen_len,summary_max_gen_len,summary_success_rate,run_seed,chunk_index,num_chunks,torch_version,transformers_version
d68d8163c7e9debac27597074eafb37a,TRIAL,1,1916,1962,0,0,0,0.4678,0,0,0,0,0,28.9986,microsoft/Phi-3-mini-4k-instruct,,,,3689597924,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,2,1826,1872,0,0,0,0.4458,0,0,0,0,0,27.1919,microsoft/Phi-3-mini-4k-instruct,,,,3689597925,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,3,985,1031,0,1,0,0.2405,0,0,0,0,0,14.3602,microsoft/Phi-3-mini-4k-instruct,,,,3689597926,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,4,8444,8490,1,0,0,2.0615,0,1,0,0,0,165.1321,microsoft/Phi-3-mini-4k-instruct,,,,3689597927,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,5,1428,1474,0,0,0,0.3486,0,0,0,0,0,21.0478,microsoft/Phi-3-mini-4k-instruct,,,,3689597928,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,6,2254,2300,0,1,0,0.5503,0,0,0,0,0,35.2211,microsoft/Phi-3-mini-4k-instruct,,,,3689597929,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,7,1589,1635,0,0,0,0.3879,0,0,0,0,0,23.5209,microsoft/Phi-3-mini-4k-instruct,,,,3689597930,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,8,1320,1366,0,0,0,0.3223,0,0,0,0,0,19.4060,microsoft/Phi-3-mini-4k-instruct,,,,3689597931,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,9,12906,12952,1,0,0,3.1509,0,1,0,0,0,258.8374,microsoft/Phi-3-mini-4k-instruct,,,,3689597932,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,10,1741,1787,0,0,0,0.4250,0,0,0,0,0,25.8749,microsoft/Phi-3-mini-4k-instruct,,,,3689597933,9,15,2.9.1+cu128,4.57.3
