prompt_key,row_type,trial,gen_len,total_len,success,saw_eos,cap_hit,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,model,summary_avg_gen_len,summary_max_gen_len,summary_success_rate,run_seed,chunk_index,num_chunks,torch_version,transformers_version
d68d8163c7e9debac27597074eafb37a,TRIAL,1,2424,2467,0,0,0,0.5918,0,0,0,0,0,56.3925,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597924,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,2,1555,1598,0,0,0,0.3796,0,0,0,0,0,35.0474,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597925,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,3,737,780,0,0,0,0.1799,0,0,0,0,0,16.2366,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597926,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,4,35,78,0,0,0,0.0085,0,0,0,0,0,0.7577,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597927,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,5,1036,1079,0,0,0,0.2529,0,0,0,0,0,23.0200,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597928,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,6,1,44,0,0,0,0.0002,0,0,0,0,0,0.0255,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597929,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,7,2,45,0,0,0,0.0005,0,0,0,0,0,0.0465,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597930,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,8,1546,1589,0,0,0,0.3774,0,0,0,0,0,34.8453,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597931,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,9,24,67,0,0,0,0.0059,0,0,0,0,0,0.5209,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597932,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,10,1,44,0,0,0,0.0002,0,0,0,0,0,0.0252,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597933,9,15,2.9.1+cu128,4.57.3
