run,base_seed,chunk_index,num_chunks,ckpt,victim_model,goal,max_steps,temp,top_p,top_k,gate_alpha,reward_mode,context_window,torch_version,transformers_version,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
536,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5027,1.227294921875,0,0,0,0,143.77880191802979,1,0,0,-0.3585160016061223,1.0,5.0,1.0
537,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4859,1.186279296875,0,0,0,0,125.86931490898132,1,0,0,-0.3677445172311223,1.0,5.0,1.0
538,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,1471,0.359130859375,0,0,0,0,34.02393293380737,0,0,0,-0.6556208449226087,1.0,5.0,14.309993201903467
539,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,8711,2.126708984375,0,0,0,0,266.2972218990326,1,1,0,-0.12763831605924725,1.0,5.0,1.0
540,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5277,1.288330078125,0,0,0,0,139.3310420513153,1,0,0,-0.3447830914498723,1.0,5.0,1.0
541,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,3702,0.90380859375,0,0,0,0,92.02274298667908,0,0,0,-0.5314768945849062,1.0,5.0,13.830361966504592
542,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4788,1.1689453125,0,0,0,0,123.90011429786682,1,0,0,-0.37164466371549726,1.0,5.0,1.0
543,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4755,1.160888671875,0,0,0,0,122.89755010604858,1,0,0,-0.37345740785612225,1.0,5.0,1.0
544,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,351,0.085693359375,0,0,0,0,7.855742692947388,0,0,0,-0.7515843066686818,1.0,5.0,29.48717948717949
545,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5054,1.23388671875,0,0,0,0,132.24263429641724,1,0,0,-0.3570328473092473,1.0,5.0,1.0
546,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5157,1.259033203125,0,0,0,0,135.41571736335754,1,0,0,-0.3920300866428399,1.0,5.0,3.509792515028117
547,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5156,1.2587890625,0,0,0,0,135.3690893650055,1,0,0,-0.35142981996549727,1.0,5.0,1.0
548,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5059,1.235107421875,0,0,0,0,132.3585181236267,1,0,0,-0.3567581891061223,1.0,5.0,1.0
549,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,24,0.005859375,0,0,0,0,0.5363781452178955,0,0,0,-0.7910114006302845,1.0,5.0,45.833333333333336
550,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,1876,0.4580078125,0,0,0,0,43.89966177940369,0,0,0,-0.6457334225834948,1.0,5.0,18.603411513859275
551,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5077,1.239501953125,0,0,0,0,132.8713343143463,1,0,0,-0.3557694195748723,1.0,5.0,1.0
552,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4796,1.1708984375,0,0,0,0,124.06826996803284,1,0,0,-0.37120521059049727,1.0,5.0,1.0
553,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,575,0.140380859375,0,0,0,0,12.950730323791504,0,0,0,-0.728303577251152,1.0,5.0,23.478260869565215
554,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,38,0.00927734375,0,0,0,0,0.8449764251708984,0,0,0,-0.7875982734277259,1.0,5.0,43.421052631578945
555,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4970,1.21337890625,0,0,0,0,129.48288321495056,1,0,0,-0.3832767123039454,1.0,5.0,2.0824949698189137
556,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,173,0.042236328125,0,0,0,0,3.851909637451172,0,0,0,-0.7603926499471618,1.0,5.0,28.901734104046245
557,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,30,0.00732421875,0,0,0,0,0.6682288646697998,0,0,0,-0.7915636678608399,1.0,5.0,46.66666666666667
558,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4759,1.161865234375,0,0,0,0,122.92271018028259,1,0,0,-0.3732376812936223,1.0,5.0,1.0
559,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4761,1.162353515625,0,0,0,0,122.98393750190735,1,0,0,-0.37312781801237227,1.0,5.0,1.0
560,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5081,1.240478515625,0,0,0,0,132.99177742004395,1,0,0,-0.3858582723557061,1.0,5.0,2.6667978744341663
561,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5122,1.25048828125,0,0,0,0,134.2749626636505,1,0,0,-0.3532974957467473,1.0,5.0,1.0
562,42,8,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,9554,2.33251953125,0,0,0,0,301.2309477329254,1,1,0,-0.057250345823685544,1.0,5.0,2.1195310864559347
