run,base_seed,chunk_index,num_chunks,ckpt,victim_model,goal,max_steps,temp,top_p,top_k,gate_alpha,reward_mode,context_window,torch_version,transformers_version,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
67,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,1423,0.69482421875,0,0,0,0,70.96359491348267,0,0,0,-0.666950439711608,1.0,5.0,17.217146872803937
68,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,1541,0.75244140625,0,0,0,0,34.456616163253784,0,0,0,-0.6486003186489173,1.0,5.0,13.36794289422453
69,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,5588,2.728515625,0,0,0,0,146.65626001358032,1,1,0,-0.3716878165765954,1.0,5.0,3.8206871868289194
70,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,2638,1.2880859375,0,0,0,0,61.557554721832275,1,0,0,-0.4897476910592473,1.0,5.0,1.0
71,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,635,0.31005859375,0,0,0,0,13.638453245162964,0,0,0,-0.7038707246915357,1.0,5.0,15.039370078740157
72,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,897,0.43798828125,0,0,0,0,19.49677848815918,0,0,0,-0.6884593896449815,1.0,5.0,14.71571906354515
73,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,3439,1.67919921875,0,0,0,0,82.40119576454163,1,0,0,-0.4860136997422042,1.0,5.0,3.4748473393428325
74,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,914,0.4462890625,0,0,0,0,19.87531805038452,0,0,0,-0.6589682640843622,1.0,5.0,7.87746170678337
75,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,228,0.111328125,0,0,0,0,4.81239914894104,0,0,0,-0.7237189392354895,1.0,5.0,14.25438596491228
76,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,2916,1.423828125,0,0,0,0,68.5730710029602,1,0,0,-0.5527686952879247,1.0,5.0,8.573388203017833
77,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,310,0.1513671875,0,0,0,0,6.5632712841033936,0,0,0,-0.7433309396690222,1.0,5.0,23.709677419354836
78,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,178,0.0869140625,0,0,0,0,3.7412710189819336,0,0,0,-0.7667545391279827,1.0,5.0,33.146067415730336
79,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,371,0.18115234375,0,0,0,0,7.875715255737305,0,0,0,-0.7266433050486157,1.0,5.0,17.924528301886795
80,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,7780,3.798828125,0,0,0,0,224.6572437286377,1,1,0,-0.25230039735722265,1.0,5.0,3.9203084832904884
81,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,3171,1.54833984375,0,0,0,0,75.34491562843323,1,0,0,-0.547314522886149,1.0,5.0,10.359508041627247
82,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,135,0.06591796875,0,0,0,0,2.836960554122925,0,0,0,-0.7592605478872809,1.0,5.0,27.037037037037035
83,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,390,0.1904296875,0,0,0,0,8.288488388061523,0,0,0,-0.69357754503069,1.0,5.0,8.974358974358974
84,42,1,15,RANDOM_POLICY,EleutherAI/pythia-6.9b,16384,0,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,1062,0.5185546875,0,0,0,0,23.22804594039917,0,0,0,-0.6829284454800854,1.0,5.0,15.866290018832393
