run,base_seed,chunk_index,num_chunks,ckpt,victim_model,goal,max_steps,temp,top_p,top_k,gate_alpha,reward_mode,context_window,torch_version,transformers_version,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
804,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,354,0.08642578125,0,0,0,0,18.61086654663086,0,0,0,-0.7257121221926566,1.0,5.0,17.231638418079097
805,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5820,1.4208984375,0,0,0,0,157.07835960388184,1,0,0,-0.371158158306961,1.0,5.0,5.154639175257732
806,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5213,1.272705078125,0,0,0,0,136.55409383773804,1,0,0,-0.36449011098762485,1.0,5.0,1.7648187224247076
807,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,609,0.148681640625,0,0,0,0,13.682742357254028,0,0,0,-0.7266091376926032,1.0,5.0,23.563218390804597
808,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5603,1.367919921875,0,0,0,0,149.22519159317017,1,0,0,-0.38027312458289464,1.0,5.0,4.818847046225236
809,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,11024,2.69140625,0,0,0,0,367.08806443214417,1,1,0,0.07321271067267589,1.0,5.0,4.803156748911466
810,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,286,0.06982421875,0,0,0,0,6.364211320877075,0,0,0,-0.7422510380363655,1.0,5.0,22.552447552447553
811,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4891,1.194091796875,0,0,0,0,126.63290047645569,1,0,0,-0.36598670473112227,1.0,5.0,1.0
812,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,453,0.110595703125,0,0,0,0,10.1311776638031,0,0,0,-0.7383381744766984,1.0,5.0,25.165562913907284
813,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,137,0.033447265625,0,0,0,0,3.028623342514038,0,0,0,-0.7727036162302513,1.0,5.0,35.76642335766423
814,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,270,0.06591796875,0,0,0,0,6.005324602127075,0,0,0,-0.7276930766144784,1.0,5.0,16.296296296296294
815,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,91,0.022216796875,0,0,0,0,2.01523756980896,0,0,0,-0.7661660070540987,1.0,5.0,29.67032967032967
816,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,1305,0.318603515625,0,0,0,0,29.935047149658203,0,0,0,-0.6627625900355356,1.0,5.0,13.71647509578544
817,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,483,0.117919921875,0,0,0,0,10.80579662322998,0,0,0,-0.7118054536388781,1.0,5.0,14.906832298136647
818,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,310,0.07568359375,0,0,0,0,6.908442258834839,0,0,0,-0.7533526050058723,1.0,5.0,29.193548387096772
819,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5126,1.25146484375,0,0,0,0,134.00919437408447,1,0,0,-0.35307776918424727,1.0,5.0,1.0
820,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4955,1.209716796875,0,0,0,0,128.6181652545929,1,0,0,-0.36247107973112225,1.0,5.0,1.0
821,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,171,0.041748046875,0,0,0,0,3.7947731018066406,0,0,0,-0.7520856184245887,1.0,5.0,24.269005847953217
822,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,628,0.1533203125,0,0,0,0,14.119764804840088,0,0,0,-0.7078704539007997,1.0,5.0,16.24203821656051
823,42,12,15,RANDOM_POLICY,meta-llama/Llama-2-7b-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,222,0.05419921875,0,0,0,0,4.927438020706177,0,0,0,-0.77077492445299,1.0,5.0,37.83783783783784
