run,base_seed,chunk_index,num_chunks,ckpt,victim_model,goal,max_steps,temp,top_p,top_k,gate_alpha,reward_mode,context_window,torch_version,transformers_version,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
201,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,2708,1.322265625,0,0,0,0,74.81477808952332,1,0,0,-0.4859024762154973,1.0,5.0,1.0
202,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,2778,1.3564453125,0,0,0,0,65.12411642074585,1,0,0,-0.4877661028257301,1.0,5.0,1.2419006479481642
203,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,3520,1.71875,0,0,0,0,84.81534123420715,1,0,0,-0.4425603231647364,1.0,5.0,1.0511363636363638
204,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,2811,1.37255859375,0,0,0,0,65.95585203170776,1,0,0,-0.4890975421657104,1.0,5.0,1.3874066168623265
205,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,9329,4.55517578125,0,0,0,0,288.77490758895874,1,1,1,-0.05974280824674726,1.0,5.0,1.0
206,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,1691,0.82568359375,0,0,0,0,38.05063819885254,0,0,0,-0.6101989479292627,1.0,5.0,6.8598462448255475
207,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,2944,1.4375,0,0,0,0,69.59622931480408,1,0,0,-0.4729386090279972,1.0,5.0,1.0
208,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,3073,1.50048828125,0,0,0,0,73.00155830383301,1,0,0,-0.4676658700185655,1.0,5.0,1.073869183208591
209,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,5881,2.87158203125,0,0,0,0,156.75056838989258,1,1,0,-0.33055088681447553,1.0,5.0,1.9214419316442781
210,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,1125,0.54931640625,0,0,0,0,24.95963478088379,0,0,0,-0.6492827058198939,1.0,5.0,8.222222222222223
211,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,312,0.15234375,0,0,0,0,6.630034685134888,0,0,0,-0.7336160723499804,1.0,5.0,19.391025641025642
212,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,420,0.205078125,0,0,0,0,8.968136310577393,0,0,0,-0.726834230735448,1.0,5.0,19.047619047619047
213,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,3050,1.4892578125,0,0,0,0,72.37122416496277,1,0,0,-0.5199541140583777,1.0,5.0,4.754098360655737
214,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,1588,0.775390625,0,0,0,0,35.58808374404907,0,0,0,-0.6160829881888417,1.0,5.0,6.895465994962216
215,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,2961,1.44580078125,0,0,0,0,70.0443229675293,1,0,0,-0.47200477113737227,1.0,5.0,1.0
216,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,2641,1.28955078125,0,0,0,0,61.73892903327942,1,0,0,-0.48958289613737227,1.0,5.0,1.0
217,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,2728,1.33203125,0,0,0,0,63.98728132247925,1,0,0,-0.4848038434029973,1.0,5.0,1.0
218,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,2898,1.4150390625,0,0,0,0,68.41050291061401,1,0,0,-0.4754654644967473,1.0,5.0,1.0
219,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,9549,4.66259765625,0,0,0,0,297.1515953540802,1,1,1,-0.03557288637174726,1.0,5.0,1.0
220,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,3054,1.4912109375,0,0,0,0,72.46086525917053,1,0,0,-0.4668961285592472,1.0,5.0,1.0
221,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,151,0.07373046875,0,0,0,0,3.1870312690734863,0,0,0,-0.7614440740895254,1.0,5.0,28.80794701986755
222,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,225,0.10986328125,0,0,0,0,4.761603593826294,0,0,0,-0.7259213835055593,1.0,5.0,14.888888888888888
223,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,3179,1.55224609375,0,0,0,0,75.85517191886902,1,0,0,-0.4904335982215131,1.0,5.0,2.6737967914438503
224,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,10656,5.203125,0,0,0,0,347.01064920425415,1,1,1,0.06762380687978839,1.0,5.0,1.8909534534534533
225,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,2120,1.03515625,0,0,0,0,48.515403747558594,1,0,0,-0.5182022809029972,1.0,5.0,1.0
226,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,444,0.216796875,0,0,0,0,9.482052087783813,0,0,0,-0.64814143712819,1.0,5.0,3.265765765765766
227,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,3105,1.51611328125,0,0,0,0,73.85984778404236,1,0,0,-0.46409461488737225,1.0,5.0,1.0
228,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,3188,1.556640625,0,0,0,0,76.05857038497925,1,0,0,-0.48071002952912706,1.0,5.0,2.0545796737766624
229,42,3,15,len8000plus_ep62944_env0_len16377_ep62944.pt,EleutherAI/pythia-6.9b,16384,64,0.8,0.95,0,0.0,victim,2048,2.9.1+cu128,4.57.3,9535,4.65576171875,0,0,0,0,296.8169198036194,1,1,1,-0.03711097230924725,1.0,5.0,1.0
