run,base_seed,chunk_index,num_chunks,ckpt,victim_model,goal,max_steps,temp,top_p,top_k,gate_alpha,reward_mode,context_window,torch_version,transformers_version,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
335,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,658.7664852142334,1,1,1,0.96493839573791,1.0,0.0,1.0162353515625
336,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,648.9201068878174,1,1,1,0.9636681161143896,1.0,0.0,1.068115234375
337,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,648.7956771850586,1,1,1,0.9650899845030645,1.0,0.0,1.0101318359375
338,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,3391,0.827880859375,0,0,0,0,83.03767824172974,0,0,0,-0.5400763072906953,1.0,5.0,11.515777056915365
339,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,432,0.10546875,0,0,0,0,9.634448766708374,0,0,0,-0.7178484322857743,1.0,5.0,15.972222222222221
340,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,1432,0.349609375,0,0,0,0,32.94148659706116,0,0,0,-0.6661581735637148,1.0,5.0,17.108938547486034
341,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,686,0.16748046875,0,0,0,0,15.435298681259155,0,0,0,-0.6874889595314911,1.0,5.0,11.224489795918368
342,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,648.7678625583649,1,1,1,0.9653426409720027,1.0,0.0,1.0
343,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4890,1.19384765625,0,0,0,0,126.65947461128235,1,0,0,-0.36604163637174725,1.0,5.0,1.0
344,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4885,1.192626953125,0,0,0,0,126.46151900291443,1,0,0,-0.36631629457487225,1.0,5.0,1.0
345,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,648.901148557663,1,1,1,0.9653426409720027,1.0,0.0,1.0
346,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,648.7528030872345,1,1,1,0.9646365900289038,1.0,0.0,1.0284423828125
347,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,648.6786878108978,1,1,1,0.9639641150844676,1.0,0.0,1.055908203125
348,42,5,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4923,1.201904296875,0,0,0,0,127.67717695236206,1,0,0,-0.36422889223112226,1.0,5.0,1.0
