run,base_seed,chunk_index,num_chunks,ckpt,victim_model,goal,max_steps,temp,top_p,top_k,gate_alpha,reward_mode,context_window,torch_version,transformers_version,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
938,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,334.2263135910034,1,1,1,0.9653426409720027,1.0,0.0,1.0
939,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,325.5280044078827,1,1,1,0.9653426409720027,1.0,0.0,1.0
940,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4363,1.065185546875,0,0,0,0,78.38060402870178,1,0,0,-0.502290994984167,1.0,5.0,16.101306440522578
941,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,3891,0.949951171875,0,0,0,0,68.68713784217834,0,0,0,-0.46499657821835494,1.0,5.0,3.82934978154716
942,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,325.68208050727844,1,1,1,0.9653426409720027,1.0,0.0,1.0
943,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,325.6520128250122,1,1,1,0.9653426409720027,1.0,0.0,1.0
944,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,325.8314254283905,1,1,1,0.9653426409720027,1.0,0.0,1.0
945,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,325.4440031051636,1,1,1,0.9653426409720027,1.0,0.0,1.0
946,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,12894,3.14794921875,0,0,0,0,253.80908131599426,1,1,0,0.3298200921118375,1.0,5.0,1.0857763300760044
947,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,13450,3.28369140625,0,0,0,0,265.3904962539673,1,1,0,0.3337148463677816,1.0,5.0,5.5464684014869885
948,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,946,0.23095703125,0,0,0,0,13.536064863204956,0,0,0,-0.7040872108551607,1.0,5.0,21.67019027484144
949,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,325.5464015007019,1,1,1,0.9513683851286291,1.0,0.0,1.6448974609375
950,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,325.416321516037,1,1,1,0.9653426409720027,1.0,0.0,1.0
951,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,325.56382036209106,1,1,1,0.9652420342492385,1.0,0.0,1.0040283203125
952,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,2225,0.543212890625,0,0,0,0,34.37893486022949,0,0,0,-0.5466686839694328,1.0,5.0,2.966292134831461
953,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,325.57583475112915,1,1,1,0.9653426409720027,1.0,0.0,1.0
954,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,325.4329557418823,1,1,1,0.9653426409720027,1.0,0.0,1.0
955,42,14,15,len8000plus_ep62944_env0_len16377_ep62944.pt,microsoft/Phi-3-mini-4k-instruct,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,2109,0.514892578125,0,0,0,0,32.09073615074158,0,0,0,-0.5188065289498722,1.0,5.0,1.0
